date,return
7/31/2016,0.01774
8/31/2016,0.00423
9/30/2016,0.00418
10/31/2016,-0.00345
11/30/2016,0.00433
12/31/2016,0.00581
1/31/2017,0.00379
2/28/2017,0.01351
3/31/2017,0.00598
4/30/2017,0.00925
5/31/2017,0.00257
6/30/2017,-0.00810
7/31/2017,-0.00237
8/31/2017,0.00307
9/30/2017,0.00698
10/31/2017,0.01633
11/30/2017,0.00552
12/31/2017,-0.00081
1/31/2018,0.01000
2/28/2018,-0.01080
3/31/2018,-0.00253
4/30/2018,0.00232
5/31/2018,0.00878
6/30/2018,-0.00047
7/31/2018,0.00909
8/31/2018,0.00267
9/30/2018,-0.00550
10/31/2018,-0.02876
11/30/2018,0.00897
12/31/2018,-0.02911
1/31/2019,0.03373
2/28/2019,0.01236
3/31/2019,0.01069
4/30/2019,0.01334
5/31/2019,-0.02013
6/30/2019,0.01637
7/31/2019,0.00352
8/31/2019,-0.00300
9/30/2019,0.00714
10/31/2019,0.00547
11/30/2019,0.01348
12/31/2019,0.00141
1/31/2020,0.00427
2/29/2020,-0.01908
3/31/2020,-0.08265
4/30/2020,0.05268
5/31/2020,0.01477
6/30/2020,0.01373
7/31/2020,0.02214
8/31/2020,0.00215
9/30/2020,-0.00723
